Year	Month	Day	ARROW_obs
1932	4	19	45642
1932	4	20	36443
1932	4	21	34304
1932	4	22	32731
1932	4	23	35583
1932	4	24	33584
1932	4	25	37043
1932	4	26	42872
1932	4	27	41591
1932	4	28	46936
1932	4	29	48870
1932	4	30	49542
1932	5	1	54709
1932	5	2	48908
1932	5	3	53772
1932	5	4	64150
1932	5	5	70255
1932	5	6	75877
1932	5	7	78730
1932	5	8	92055
1932	5	9	86994
1932	5	10	95016
1932	5	11	94951
1932	5	12	91746
1932	5	13	105081
1932	5	14	93086
1932	5	15	89409
1932	5	16	86476
1932	5	17	77898
1932	5	18	75860
1932	5	19	80616
1932	5	20	97026
1932	5	21	109162
1932	5	22	111452
1932	5	23	115411
1932	5	24	100481
1932	5	25	99357
1932	5	26	89593
1932	5	27	72397
1932	5	28	74480
1932	5	29	76549
1932	5	30	82839
1932	5	31	90138
1932	6	1	108824
1932	6	2	123484
1932	6	3	127916
1932	6	4	132397
1932	6	5	120352
1932	6	6	114116
1932	6	7	105814
1932	6	8	103074
1932	6	9	109138
1932	6	10	121636
1932	6	11	141196
1932	6	12	143532
1932	6	13	186441
1932	6	14	178888
1932	6	15	189831
1932	6	16	187631
1932	6	17	159874
1932	6	18	136549
1932	6	19	113611
1932	6	20	121419
1932	6	21	150923
1932	6	22	182579
1932	6	23	183828
1932	6	24	168313
1932	6	25	145387
1932	6	26	145108
1932	6	27	131459
1932	6	28	133199
1932	6	29	139567
1932	6	30	147692
1932	7	1	136492
1932	7	2	139300
1932	7	3	119685
1932	7	4	118042
1932	7	5	114948
1932	7	6	110653
1932	7	7	108985
1932	7	8	104083
1932	7	9	100628
1932	7	10	95190
1932	7	11	93297
1932	7	12	89198
1932	7	13	85874
1932	7	14	81124
1932	7	15	78584
1932	7	16	76648
1932	7	17	76259
1932	7	18	77017
1932	7	19	85013
1932	7	20	86022
1932	7	21	85297
1932	7	22	90229
1932	7	23	98083
1932	7	24	96049
1932	7	25	94949
1932	7	26	93162
1932	7	27	87123
1932	7	28	92346
1932	7	29	93481
1932	7	30	92947
1932	7	31	76509
1932	8	1	73258
1932	8	2	66362
1932	8	3	80333
1932	8	4	70640
1932	8	5	71587
1932	8	6	71560
1932	8	7	67475
1932	8	8	75646
1932	8	9	81553
1932	8	10	74749
1932	8	11	80647
1932	8	12	89044
1932	8	13	74379
1932	8	14	65240
1932	8	15	73838
1932	8	16	76202
1932	8	17	76802
1932	8	18	80505
1932	8	19	83656
1932	8	20	82209
1932	8	21	78245
1932	8	22	72156
1932	8	23	69338
1932	8	24	72628
1932	8	25	75785
1932	8	26	77360
1932	8	27	74603
1932	8	28	76517
1932	8	29	59466
1932	8	30	57970
1932	8	31	48920
1932	9	1	41818
1932	9	2	44323
1932	9	3	39435
1932	9	4	38088
1932	9	5	33493
1932	9	6	40885
1932	9	7	48553
1932	9	8	56255
1932	9	9	49095
1932	9	10	47374
1932	9	11	40659
1932	9	12	44769
1932	9	13	30144
1932	9	14	36007
1932	9	15	39741
1932	9	16	37034
1932	9	17	29542
1932	9	18	33902
1932	9	19	27538
1932	9	20	30047
1932	9	21	24564
1932	9	22	24926
1932	9	23	24076
1932	9	24	24231
1932	9	25	20810
1932	9	26	22569
1932	9	27	21367
1932	9	28	22901
1932	9	29	19785
1932	9	30	23655
1932	10	1	22517
1932	10	2	29529
1932	10	3	24792
1932	10	4	26249
1932	10	5	26411
1932	10	6	23378
1932	10	7	22645
1932	10	8	16826
1932	10	9	17671
1932	10	10	17954
1932	10	11	16748
1932	10	12	18506
1932	10	13	16163
1932	10	14	25588
1932	10	15	25768
1932	10	16	22079
1932	10	17	22042
1932	10	18	18756
1932	10	19	18874
1932	10	20	16712
